Adjustment Type,Day,Country,Video ID,Video Title,Video Duration (sec),Category,Channel ID,Uploader,Channel Display Name,Content Type,Policy,Owned Views,YouTube Revenue Split : Auction,YouTube Revenue Split : Reserved,YouTube Revenue Split : Partner Sold YouTube Served,YouTube Revenue Split : Partner Sold Partner Served,YouTube Revenue Split,Partner Revenue : Auction,Partner Revenue : Reserved,Partner Revenue : Partner Sold YouTube Served,Partner Revenue : Partner Sold Partner Served,Partner Revenue
None,20240611,JP,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,1,0.008302,0,0,0,0.008302,0.0045661,0,0,0,0.0045661
None,20240611,KH,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,1,0.000086,0,0,0,0.000086,0.0000473,0,0,0,0.0000473
None,20240611,MY,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,2,0.001087,0,0,0,0.001087,0.00059785,0,0,0,0.00059785
None,20240611,SA,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,1,0.00341,0,0,0,0.00341,0.0018755,0,0,0,0.0018755
None,20240612,ID,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,33,0.021179,0,0,0,0.021179,0.01164845,0,0,0,0.01164845
None,20240612,MY,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,2,0.002306,0,0,0,0.002306,0.0012683,0,0,0,0.0012683
None,20240613,ID,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,45,0.020351,0,0,0,0.020351,0.01119305,0,0,0,0.01119305
None,20240613,MY,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,2,0,0,0,0,0,0,0,0,0,0
None,20240613,PH,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,1,0,0,0,0,0,0,0,0,0,0
None,20240614,DE,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,1,0.033765,0,0,0,0.033765,0.01857075,0,0,0,0.01857075
None,20240614,ID,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,38,0.521196,0,0,0,0.521196,0.2866578,0,0,0,0.2866578
None,20240614,US,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,1,0.0094,0,0,0,0.0094,0.00517,0,0,0,0.00517
None,20240615,ID,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,17,0.009693,0,0,0,0.009693,0.00533115,0,0,0,0.00533115
None,20240615,MY,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,3,0.006342,0,0,0,0.006342,0.0034881,0,0,0,0.0034881
None,20240616,ID,k19xN725QR4,ADA DALAM HATIKU | GBC Worship Feat. Rachel Angela | Live in Concert,290,people,UCg-6dyO9lswyqKsCYJc0nXw,impactmusikindonesia,GBC Worship,Partner-provided,monetize,17,0.004846,0,0,0,0.004846,0.0026653,0,0,0,0.0026653
None,20240601,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,3,0.008908,0,0,0,0.008908,0.0048994,0,0,0,0.0048994
None,20240602,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,2,0,0,0,0,0,0,0,0,0,0
None,20240603,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,2,0,0,0,0,0,0,0,0,0,0
None,20240604,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0,0,0,0,0,0,0,0,0,0
None,20240605,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0,0,0,0,0,0,0,0,0,0
None,20240607,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0,0,0,0,0,0,0,0,0,0
None,20240608,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,3,0.005407,0,0,0,0.005407,0.00297385,0,0,0,0.00297385
None,20240609,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,4,0.001259,0,0,0,0.001259,0.00069245,0,0,0,0.00069245
None,20240610,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,7,0.000636,0,0,0,0.000636,0.0003498,0,0,0,0.0003498
None,20240611,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,4,0.00057,0,0,0,0.00057,0.0003135,0,0,0,0.0003135
None,20240612,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,2,0.000476,0,0,0,0.000476,0.0002618,0,0,0,0.0002618
None,20240613,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,2,0.004292,0,0,0,0.004292,0.0023606,0,0,0,0.0023606
None,20240615,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0.000448,0,0,0,0.000448,0.0002464,0,0,0,0.0002464
None,20240616,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0,0,0,0,0,0,0,0,0,0
None,20240618,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,impactmusikindonesia,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0,0,0,0,0,0,0,0,0,0
None,20240619,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,impactmusikindonesia,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0,0,0,0,0,0,0,0,0,0
None,20240620,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,impactmusikindonesia,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,3,0.000384,0,0,0,0.000384,0.0002112,0,0,0,0.0002112
None,20240621,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,impactmusikindonesia,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0.000902,0,0,0,0.000902,0.0004961,0,0,0,0.0004961
None,20240622,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,impactmusikindonesia,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,2,0.001269,0,0,0,0.001269,0.00069795,0,0,0,0.00069795
None,20240623,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,impactmusikindonesia,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,3,0.00061,0,0,0,0.00061,0.0003355,0,0,0,0.0003355
None,20240623,MY,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,impactmusikindonesia,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,3,0.004536,0,0,0,0.004536,0.0024948,0,0,0,0.0024948
None,20240624,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,impactmusikindonesia,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0.000872,0,0,0,0.000872,0.0004796,0,0,0,0.0004796
None,20240626,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,impactmusikindonesia,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,2,0,0,0,0,0,0,0,0,0,0
None,20240630,ID,iiJqRSdMk_E,JCC Worship - Tiang Api Tiang Awan,577,entertainment,UCIimjC2xJp3Zi6CAr5-TMIg,impactmusikindonesia,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0.000659,0,0,0,0.000659,0.00036245,0,0,0,0.00036245
None,20240601,AU,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,6,0.005164,0,0,0,0.005164,0.0028402,0,0,0,0.0028402
None,20240601,ID,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,272,0.222121,0,0,0,0.222121,0.12216655,0,0,0,0.12216655
None,20240601,KR,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0,0,0,0,0,0,0,0,0,0
None,20240601,MY,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,21,0.013727,0,0,0,0.013727,0.00754985,0,0,0,0.00754985
None,20240601,SG,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0.001614,0,0,0,0.001614,0.0008877,0,0,0,0.0008877
None,20240602,AU,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,6,0.051447,0,0,0,0.051447,0.02829585,0,0,0,0.02829585
None,20240602,HK,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0.003713,0,0,0,0.003713,0.00204215,0,0,0,0.00204215
None,20240602,ID,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,207,0.276563,0,0,0,0.276563,0.15210965,0,0,0,0.15210965
None,20240602,KH,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0,0,0,0,0,0,0,0,0,0
None,20240602,MY,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,21,0.029695,0,0,0,0.029695,0.01633225,0,0,0,0.01633225
None,20240602,US,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0.016613,0,0,0,0.016613,0.00913715,0,0,0,0.00913715
None,20240603,AU,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,4,0.006297,0,0,0,0.006297,0.00346335,0,0,0,0.00346335
